                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.77035,                0.75558,                   1.15,                 0.8456,                 0.9959,                0.96336,                0.69014,                 1.0148,                 1.1007,                 1.4416,              0.0011288,              0.0011288,              0.0011288
                     46,                 0.7883,                0.77521,                 1.1584,                0.98405,                0.90909,                 0.9842,                0.65537,                 1.0257,                   1.11,                 1.4152,               0.001109,               0.001109,               0.001109
                     47,                 0.7794,                0.72733,                 1.0942,                0.83302,                 0.9071,                0.92392,                 0.6475,                0.99951,                 1.2371,                 1.3903,              0.0010892,              0.0010892,              0.0010892
                     48,                0.81265,                0.74096,                  1.104,                0.88844,                0.86364,                0.93669,                0.67806,                0.88645,                 1.1446,                 1.3463,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.8073,                0.73718,                 1.0705,                0.94967,                0.95455,                0.99167,                0.73039,                0.82326,                0.99933,                  1.311,              0.0010496,              0.0010496,              0.0010496
                     50,                0.90326,                0.81018,                 1.2784,                0.94479,                      1,                0.99326,                0.74817,                0.83662,                0.93681,                 1.2802,              0.0010298,              0.0010298,              0.0010298
                     51,                0.83083,                 0.7259,                 1.1485,                0.90914,                      1,                0.98758,                0.75342,                0.84732,                  0.883,                 1.2111,                0.00101,                0.00101,                0.00101
                     52,                0.74799,                0.70579,                 1.0675,                 0.9563,                0.99493,                0.97761,                0.72838,                0.91235,                0.91392,                 1.2242,              0.0009902,              0.0009902,              0.0009902
                     53,                0.83586,                0.74142,                 1.1188,                0.99846,                      1,                  0.995,                0.70879,                0.85686,                0.92115,                 1.2229,              0.0009704,              0.0009704,              0.0009704
                     54,                0.85327,                0.76886,                 1.1978,                0.99161,                      1,                  0.995,                0.70962,                0.89312,                0.95379,                 1.2616,              0.0009506,              0.0009506,              0.0009506
                     55,                0.83048,                0.83676,                 1.1429,                0.99796,                      1,                  0.995,                0.68975,                0.97459,                0.92759,                 1.3192,              0.0009308,              0.0009308,              0.0009308
                     56,                0.77421,                0.66888,                  1.118,                0.99574,                      1,                  0.995,                0.71393,                0.90806,                0.86538,                 1.2945,               0.000911,               0.000911,               0.000911
                     57,                0.73319,                0.68661,                 1.0843,                0.99724,                      1,                  0.995,                0.75817,                 0.8651,                0.81139,                 1.2755,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.7144,                0.65543,                  1.096,                      1,                0.99839,                  0.995,                0.73914,                0.92395,                0.80444,                  1.313,              0.0008714,              0.0008714,              0.0008714
                     59,                0.79034,                0.69911,                  1.119,                0.98052,                      1,                  0.995,                0.73384,                0.95154,                0.79247,                 1.3407,              0.0008516,              0.0008516,              0.0008516
                     60,                0.78771,                 0.7625,                 1.1072,                 0.9832,                      1,                  0.995,                0.70691,                0.93081,                0.84249,                 1.3306,              0.0008318,              0.0008318,              0.0008318
                     61,                0.79205,                0.74166,                  1.146,                0.94095,                0.90909,                0.97643,                0.68188,                0.98675,                0.89655,                  1.409,               0.000812,               0.000812,               0.000812
